gene_name,item_number,product_name
CSNK2A2,HZGHC000083c002,Human CSNK2A2 4bp deletion knockout cell line
CSNK2A2,HZGHC000083c005,Human CSNK2A2 21bp insertion knockout cell line
CSNK2A2,HZGHC000083c017,Human CSNK2A2 14bp deletion knockout cell line
DAPK3,HZGHC000084c001,Human DAPK3 1bp insertion knockout cell line
DAPK3,HZGHC000084c012,Human DAPK3 18bp deletion knockout cell line
DAPK3,HZGHC000084c019,Human DAPK3 4bp deletion knockout cell line
EEF2K,HZGHC000085c016,Human EEF2K 7bp deletion knockout cell line
GAK,HZGHC000086c004,Human GAK 14bp deletion knockout cell line
GAK,HZGHC000086c007,Human GAK 10bp deletion knockout cell line
GAK,HZGHC000086c020,Human GAK 2bp deletion knockout cell line
GRK5,HZGHC000087c007,Human GRK5 11bp deletion knockout cell line
GRK5,HZGHC000087c013,Human GRK5 11bp deletion knockout cell line
GRK5,HZGHC000087c016,Human GRK5 10bp deletion knockout cell line
HUNK,HZGHC000088c005,Human HUNK 5bp deletion knockout cell line
LATS2,HZGHC000089c003,Human LATS2 4bp deletion knockout cell line
MAP3K10,HZGHC000090c009,Human MAP3K10 14bp deletion knockout cell line
MAP3K10,HZGHC000090c011,Human MAP3K10 2bp deletion knockout cell line
MAP3K10,HZGHC000090c014,Human MAP3K10 20bp deletion knockout cell line
MAP3K11,HZGHC000091c002,Human MAP3K11 17bp deletion knockout cell line
MAP3K11,HZGHC000091c007,Human MAP3K11 17bp deletion knockout cell line
MAP3K2,HZGHC000092c001,Human MAP3K2 8bp deletion knockout cell line
MAP3K2,HZGHC000092c006,Human MAP3K2 5bp deletion knockout cell line
MAP3K2,HZGHC000092c014,Human MAP3K2 11bp deletion knockout cell line
MAP3K5,HZGHC000093c001,Human MAP3K5 17bp deletion knockout cell line
MAP3K5,HZGHC000093c005,Human MAP3K5 10bp deletion knockout cell line
MAST2,HZGHC000094c020,Human MAST2 17bp deletion knockout cell line
MAST3,HZGHC000095c009,Human MAST3 19bp deletion knockout cell line
MAST3,HZGHC000095c022,Human MAST3 7bp deletion knockout cell line
MAST3,HZGHC000095c024,Human MAST3 7bp deletion knockout cell line
NLK,HZGHC000096c005,Human NLK 8bp insertion knockout cell line
NLK,HZGHC000096c023,Human NLK 20bp deletion knockout cell line
PBK,HZGHC000098c014,Human PBK 2bp deletion knockout cell line
PBK,HZGHC000098c016,Human PBK 8bp deletion knockout cell line
PKN3,HZGHC000100c011,Human PKN3 7bp deletion knockout cell line
PKN3,HZGHC000100c015,Human PKN3 8bp deletion knockout cell line
PRKD3,HZGHC000102c014,Human PRKD3 2bp deletion knockout cell line
